region;soil;ground;litter_source;litter_type;year;A;W;E;N
north;org;above;logging;coarse_woody_litter;2004;0.0586448329002323;0.00137634490896795;0.000124571643316205;0.0230172874134527
north;org;above;logging;coarse_woody_litter;2005;0.0605403076122868;0.00141303537978324;0.000122092969537037;0.0237057688597001
north;org;above;logging;coarse_woody_litter;2006;0.0557852246836862;0.0012955484807918;0.000107776527364668;0.0217542304439771
north;org;above;logging;coarse_woody_litter;2007;0.0539196465188869;0.00126701357449258;0.000117265558053927;0.0210854944831738
north;org;above;logging;coarse_woody_litter;2008;0.0692966400651759;0.00159977901790996;0.000126751857682177;0.0269026869648264
north;org;above;logging;coarse_woody_litter;2009;0.0482255565951244;0.00118258877563932;0.00015024521408233;0.018952401868703
north;org;above;logging;coarse_woody_litter;2010;0.0555575847300074;0.0013786449123634;0.000186870688109074;0.0219363309820481
north;org;above;logging;coarse_woody_litter;2011;0.0550467448707344;0.00136604812217419;0.000185458784201137;0.0217203206811522
north;org;above;logging;coarse_woody_litter;2012;0.0555970771088741;0.00136882176122862;0.000177920611276424;0.0218792225255684
north;org;above;logging;coarse_woody_litter;2013;0.0599456499427997;0.00147669732704584;0.000191887595562366;0.0236351689445744
north;org;above;logging;coarse_woody_litter;2014;0.0582610093994378;0.00143727989942004;0.000188327794095774;0.0229798570752665
north;org;above;logging;coarse_woody_litter;2015;0.0569721306748925;0.00141202441666047;0.00018959474409827;0.0225195938108726
north;org;above;logging;coarse_woody_litter;2016;0.0540132803902903;0.00135393423461501;0.000193470086278588;0.0213964578392476
north;org;above;logging;coarse_woody_litter;2017;0.0561114202790324;0.00141005474016657;0.000203668743766843;0.0222688280685174
north;org;above;logging;coarse_woody_litter;2018;0.0636348313212434;0.00160727455000252;0.000237813856255318;0.025310987579824
north;org;above;logging;coarse_woody_litter;2019;0.0638866569734257;0.00160949949663438;0.000234946202086231;0.0254038855810554
north;org;above;logging;coarse_woody_litter;2020;0.0606106391532131;0.00152582879526746;0.000221636899308141;0.0241124592044544
north;org;above;logging;coarse_woody_litter;2021;0.0649372441771448;0.00164837142434409;0.000249429107012331;0.0258933327605064
north;org;above;logging;coarse_woody_litter;2022;0.0588459731506423;0.00144933326218929;0.000185753345548951;0.0233475018785554
south;min;NA;logging;coarse_woody_litter;1970;0.10384143219541;0.00270613373363701;0.000434554780833106;0.0433259614577747
south;min;NA;logging;coarse_woody_litter;1971;0.095898069158849;0.00250364681321379;0.00040357323105415;0.040137612830498
south;min;NA;logging;coarse_woody_litter;1972;0.0965084439130118;0.00252122997673578;0.000407902542984581;0.0403809118973947
south;min;NA;logging;coarse_woody_litter;1973;0.0991306322019641;0.00262525000732054;0.000448289414090984;0.0417516577269704
south;min;NA;logging;coarse_woody_litter;1974;0.0883370544402384;0.00234982606207771;0.000407538275313777;0.0373191999212013
south;min;NA;logging;coarse_woody_litter;1975;0.0685644512248269;0.00181154406763207;0.000306465588234385;0.0288519118888182
south;min;NA;logging;coarse_woody_litter;1976;0.069417288495444;0.00186471186237131;0.000336456180903453;0.0293907962588883
south;min;NA;logging;coarse_woody_litter;1977;0.0730988571740299;0.0019753100755417;0.000363948462328834;0.031040139346898
south;min;NA;logging;coarse_woody_litter;1978;0.0805000199035767;0.00219245499914864;0.000417556838820147;0.0341530960256907
south;min;NA;logging;coarse_woody_litter;1979;0.100691674903545;0.00275189506208456;0.000528689305300544;0.042882793951019
south;min;NA;logging;coarse_woody_litter;1980;0.10407618788928;0.00286060701454045;0.000559191923392493;0.0444890954146636
south;min;NA;logging;coarse_woody_litter;1981;0.0979730918169309;0.0026780381326243;0.000514217814505486;0.0417632326063206
south;min;NA;logging;coarse_woody_litter;1982;0.0824229797429995;0.00220925754101571;0.000396330982266167;0.0348097974481371
south;min;NA;logging;coarse_woody_litter;1983;0.083570412968902;0.00225751809257214;0.000416926215405326;0.0353898569771996
south;min;NA;logging;coarse_woody_litter;1984;0.0897448557997427;0.00244011721103389;0.000461105341435267;0.0381056339949432
south;min;NA;logging;coarse_woody_litter;1985;0.0982988398663955;0.00265148146099445;0.000485007706124927;0.0417319968961603
south;min;NA;logging;coarse_woody_litter;1986;0.0853497832997904;0.0023124253097781;0.000427707792017993;0.0364279065848606
south;min;NA;logging;coarse_woody_litter;1987;0.0927466148785149;0.00249982631328941;0.000453740339255324;0.0395036349381908
south;min;NA;logging;coarse_woody_litter;1988;0.100010044388061;0.00270482314857201;0.000497010775547178;0.0426605991851184
south;min;NA;logging;coarse_woody_litter;1989;0.103629287564069;0.00280953877163393;0.000522763203915002;0.044125002575665
south;min;NA;logging;coarse_woody_litter;1990;0.0997135049538889;0.00270941805257665;0.000506980245062283;0.0425671116544593
south;min;NA;logging;coarse_woody_litter;1991;0.0810793815060746;0.00218774594246826;0.000398221574671836;0.0345781251218425
south;min;NA;logging;coarse_woody_litter;1992;0.0926599889334403;0.00252138075751121;0.000474379828189278;0.0395668704371185
south;min;NA;logging;coarse_woody_litter;1993;0.0981713278097794;0.00266079421955694;0.000492608117372993;0.0419181898084149
south;min;NA;logging;coarse_woody_litter;1994;0.113379848366092;0.00308564843454169;0.000577043398950012;0.0486530328129026
south;min;NA;logging;coarse_woody_litter;1995;0.118278323319143;0.00321346276083016;0.00059875539205154;0.0506309824852565
south;min;NA;logging;coarse_woody_litter;1996;0.109002259183531;0.00296578585736013;0.000555110398634057;0.0467103293034294
south;min;NA;logging;coarse_woody_litter;1997;0.122570760216493;0.0033328680185362;0.000620527528052472;0.0526297307375975
south;min;NA;logging;coarse_woody_litter;1998;0.12635467724349;0.00343610901063722;0.000642386971564522;0.0541075576089412
south;min;NA;logging;coarse_woody_litter;1999;0.12718154342959;0.00344321245528099;0.000632587169064292;0.0544244913749035
south;min;NA;logging;coarse_woody_litter;2000;0.128642075157963;0.0034755703997939;0.000634586974849871;0.054953115240352
south;min;NA;logging;coarse_woody_litter;2001;0.1223329017913;0.00329778359945058;0.000598659867467888;0.0521244356778248
south;min;NA;logging;coarse_woody_litter;2002;0.121855041964771;0.00329752724843961;0.000607532252251315;0.0519688538702037
south;min;NA;logging;coarse_woody_litter;2003;0.120809477583596;0.00327461571000146;0.000609696923596177;0.051382334596898
south;min;NA;logging;coarse_woody_litter;2004;0.137297191776463;0.00343608023521115;0.000458151941693895;0.0561491376504382
south;min;NA;logging;coarse_woody_litter;2005;0.13651283817998;0.00339823081797163;0.000439511709017406;0.0557494266015538
south;min;NA;logging;coarse_woody_litter;2006;0.128808519604054;0.00321305269835182;0.000424063636549559;0.0524118536905879
south;min;NA;logging;coarse_woody_litter;2007;0.131470743262977;0.00329006466001755;0.00044459613839896;0.0533896366120314
south;min;NA;logging;coarse_woody_litter;2008;0.131376132570097;0.00321946800980812;0.000392874803698703;0.0525223371164466
south;min;NA;logging;coarse_woody_litter;2009;0.104747691726135;0.00251388619611401;0.000267232985254269;0.0416079781202583
south;min;NA;logging;coarse_woody_litter;2010;0.113972039587127;0.00277031552431269;0.000320660039141994;0.0454816145009204
south;min;NA;logging;coarse_woody_litter;2011;0.107384297750688;0.00259882263673327;0.000293751315950404;0.0427030098153584
south;min;NA;logging;coarse_woody_litter;2012;0.106157389015675;0.00258723677149915;0.000306063018403756;0.042309409396624
south;min;NA;logging;coarse_woody_litter;2013;0.125020149415108;0.00303178991721815;0.000342493229115143;0.0500477839953224
south;min;NA;logging;coarse_woody_litter;2014;0.122059077159054;0.00297043840396357;0.000343606775978717;0.0489058312434147
south;min;NA;logging;coarse_woody_litter;2015;0.133632002934197;0.00323185547236931;0.000357851902733701;0.0534892444606501
south;min;NA;logging;coarse_woody_litter;2016;0.142545002974921;0.00345428553053454;0.000382744324117454;0.0573977977233895
south;min;NA;logging;coarse_woody_litter;2017;0.149086391096208;0.00363813377843102;0.000421260243704577;0.0602236891955063
south;min;NA;logging;coarse_woody_litter;2018;0.166140440722937;0.00406650707796316;0.000479942008974674;0.0671804914125985
south;min;NA;logging;coarse_woody_litter;2019;0.154998775558927;0.00377950723845188;0.000436901036079854;0.0625070398899934
south;min;NA;logging;coarse_woody_litter;2020;0.141656211144097;0.00344841096975268;0.000394334929381666;0.0570952419031261
south;min;NA;logging;coarse_woody_litter;2021;0.159243604914072;0.00388667109263895;0.000449472026789049;0.0643965715794809
south;min;NA;logging;coarse_woody_litter;2022;0.125473265431672;0.00313164817532264;0.000409870190023837;0.0513593990246498
south;org;above;logging;coarse_woody_litter;1970;0.0854499287413873;0.00214118560457441;0.000289104081714924;0.0348568178817225
south;org;above;logging;coarse_woody_litter;1971;0.0782979744456516;0.0019667967789268;0.000267990126172557;0.0320321016407203
south;org;above;logging;coarse_woody_litter;1972;0.0788345200817555;0.00198139853307681;0.000271012816662918;0.0322442161007724
south;org;above;logging;coarse_woody_litter;1973;0.0779777000365374;0.00199029106694026;0.000293322548145516;0.0321188190664297
south;org;above;logging;coarse_woody_litter;1974;0.0678856854993908;0.00174177371580426;0.000262562659302568;0.0280492091110992
south;org;above;logging;coarse_woody_litter;1975;0.0528105524366637;0.00134336482100502;0.000194810047945681;0.0217222044036657
south;org;above;logging;coarse_woody_litter;1976;0.0515036552556685;0.00133485653667211;0.00021105633268917;0.0213343590268284
south;org;above;logging;coarse_woody_litter;1977;0.0528612738687835;0.00138009476458872;0.000224962881500175;0.021971072746682
south;org;above;logging;coarse_woody_litter;1978;0.0572657953492745;0.00150716910054502;0.000255243471002158;0.023797604416281
south;org;above;logging;coarse_woody_litter;1979;0.0695547568108389;0.00184110733096912;0.000317943131965066;0.0290314800316292
south;org;above;logging;coarse_woody_litter;1980;0.0708378290817333;0.00188957148922972;0.00033549956183806;0.0296956670335037
south;org;above;logging;coarse_woody_litter;1981;0.0673150624438498;0.00178269616069694;0.000308115420702524;0.028122621565592
south;org;above;logging;coarse_woody_litter;1982;0.0585978108687138;0.00151466720169065;0.000237216199014188;0.0242148845017295
south;org;above;logging;coarse_woody_litter;1983;0.058705085021818;0.00153107193625116;0.000249335370352199;0.0243370824102454
south;org;above;logging;coarse_woody_litter;1984;0.0622658871885822;0.00163682990550291;0.000275360405555367;0.0258960259892395
south;org;above;logging;coarse_woody_litter;1985;0.0682394236058617;0.00177936764249132;0.000288303974679604;0.0283627145800438
south;org;above;logging;coarse_woody_litter;1986;0.0582987950092406;0.0015298441922968;0.000253309185490471;0.0243666929525676
south;org;above;logging;coarse_woody_litter;1987;0.0636701209216182;0.00166074832446748;0.000268139283118125;0.0265478764682325
south;org;above;logging;coarse_woody_litter;1988;0.0681050610045937;0.00178410352127404;0.000293249609996972;0.0284499934283793
south;org;above;logging;coarse_woody_litter;1989;0.0708826805602031;0.00185958253594688;0.000308665608707334;0.0295558638957021
south;org;above;logging;coarse_woody_litter;1990;0.0676942781421541;0.0017832331469373;0.00030028408635545;0.028314727743854
south;org;above;logging;coarse_woody_litter;1991;0.0553509724901068;0.0014454556899061;0.000234205483811577;0.0231109613323499
south;org;above;logging;coarse_woody_litter;1992;0.0625047224576852;0.00164741188240075;0.000277970642429533;0.026152300284083
south;org;above;logging;coarse_woody_litter;1993;0.0659981344475745;0.0017317961283247;0.00028636503515153;0.0276041104183666
south;org;above;logging;coarse_woody_litter;1994;0.0745935340502152;0.00197053332847271;0.000333308650619284;0.0313775103800994
south;org;above;logging;coarse_woody_litter;1995;0.0780535084301947;0.00205637394980949;0.000344915341028067;0.0327445369620231
south;org;above;logging;coarse_woody_litter;1996;0.0713282632910792;0.00188293150806732;0.00031821816217808;0.029955931313139
south;org;above;logging;coarse_woody_litter;1997;0.0795742655799468;0.00210200786069557;0.000355200929816455;0.0334892059409362
south;org;above;logging;coarse_woody_litter;1998;0.0821209526946543;0.00216743786158389;0.000366451871064471;0.0344597958232367
south;org;above;logging;coarse_woody_litter;1999;0.0829005146253862;0.00217629466379342;0.00035940134792716;0.0347500183900266
south;org;above;logging;coarse_woody_litter;2000;0.0842565731278663;0.00220486009198514;0.000359775221222326;0.0352457818743132
south;org;above;logging;coarse_woody_litter;2001;0.0811804599664319;0.00211638034977272;0.00034073989283568;0.0338549758310119
south;org;above;logging;coarse_woody_litter;2002;0.0805854155019881;0.00211000864589606;0.000346252979933778;0.0336481822579986
south;org;above;logging;coarse_woody_litter;2003;0.0804309303184066;0.00210616652303118;0.000347230483762172;0.0334938565179465
south;org;above;logging;coarse_woody_litter;2004;0.104284297312979;0.00250467686999135;0.000262905747143483;0.0417314274711844
south;org;above;logging;coarse_woody_litter;2005;0.104039489312073;0.00248568559191155;0.000250790970344362;0.0415746066950953
south;org;above;logging;coarse_woody_litter;2006;0.0986600114797562;0.00236124697228165;0.000243256963057065;0.0393285945335337
south;org;above;logging;coarse_woody_litter;2007;0.100850211103916;0.00242021592236427;0.000255510065706446;0.0401623321248551
south;org;above;logging;coarse_woody_litter;2008;0.105986971672192;0.00249347942357661;0.000229589577953463;0.0416785450926582
south;org;above;logging;coarse_woody_litter;2009;0.0889058030934858;0.00213237546964132;0.000230507863181053;0.0350090660443901
south;org;above;logging;coarse_woody_litter;2010;0.0968798682319294;0.00235726955561498;0.00028040377228061;0.0383172300502874
south;org;above;logging;coarse_woody_litter;2011;0.0925887915566905;0.00224393297224952;0.000260941861352922;0.0365312667713557
south;org;above;logging;coarse_woody_litter;2012;0.0915715724085823;0.00223643717821139;0.000273218047934713;0.0362008643097047
south;org;above;logging;coarse_woody_litter;2013;0.105608432611899;0.00255999550162114;0.000295643133700541;0.0418226329957832
south;org;above;logging;coarse_woody_litter;2014;0.104248289372681;0.00253795359038192;0.000301541726586807;0.0413254333803704
south;org;above;logging;coarse_woody_litter;2015;0.114036100264788;0.00275769628655957;0.000313202296721051;0.0451463530995541
south;org;above;logging;coarse_woody_litter;2016;0.119129406960046;0.00288183979405106;0.000325352129957021;0.0473341041410585
south;org;above;logging;coarse_woody_litter;2017;0.124396650493039;0.00303216608930477;0.000359203091289108;0.0495683406022661
south;org;above;logging;coarse_woody_litter;2018;0.138540820869785;0.00338853894473354;0.000410178877018541;0.0552593553407801
south;org;above;logging;coarse_woody_litter;2019;0.130104625540419;0.00317044025897476;0.000375798331744242;0.0517853082111549
south;org;above;logging;coarse_woody_litter;2020;0.119137486369698;0.00289883006230377;0.000340310939102729;0.0473997314114831
south;org;above;logging;coarse_woody_litter;2021;0.132715225319753;0.00323564419951601;0.000383200409289174;0.0529264400929398
south;org;above;logging;coarse_woody_litter;2022;0.102794920268935;0.00251087331432126;0.000297661822631907;0.0412178646949287
north;min;NA;logging;fine_woody_litter;1975;0.0656330013892383;0.00211084083409867;0.0037999037197022;0.0382914927715408
north;min;NA;logging;fine_woody_litter;1976;0.0611840176679133;0.00195228653247964;0.00351518060744709;0.0356408793000713
north;min;NA;logging;fine_woody_litter;1977;0.0650709341650249;0.00208494247108046;0.00375451479386046;0.0379450586039666
north;min;NA;logging;fine_woody_litter;1978;0.0727724889169297;0.00232672235481979;0.00417276176014151;0.0422342699765693
north;min;NA;logging;fine_woody_litter;1979;0.0787776325602028;0.00254237036471418;0.00456265629158517;0.0458465684455152
north;min;NA;logging;fine_woody_litter;1980;0.0829070144640796;0.00269983194760289;0.00485463483353515;0.0484455291998437
north;min;NA;logging;fine_woody_litter;1981;0.0784600582087175;0.00254185657982364;0.0045729533820349;0.0458193590989279
north;min;NA;logging;fine_woody_litter;1982;0.0768413627958838;0.00249617336242644;0.00447703567706609;0.0447557767996137
north;min;NA;logging;fine_woody_litter;1983;0.0779913055928856;0.00254559169370269;0.00456786847088353;0.0454966984271342
north;min;NA;logging;fine_woody_litter;1984;0.0799317984610267;0.00259253603945341;0.00466091099594017;0.0466568100631561
north;min;NA;logging;fine_woody_litter;1985;0.0771175759828564;0.00248255567813976;0.00444322908539284;0.0447276207920284
north;min;NA;logging;fine_woody_litter;1986;0.0744192536974035;0.00239612389960293;0.00429178509302252;0.0431987469327568
north;min;NA;logging;fine_woody_litter;1987;0.0860536726376607;0.00274796554534808;0.0049171392138446;0.0498112602146376
north;min;NA;logging;fine_woody_litter;1988;0.0858907049825403;0.0027343608982924;0.00488526020070028;0.0496041317271713
north;min;NA;logging;fine_woody_litter;1989;0.0869779560437871;0.00277024168809242;0.00495088507039128;0.050253085297522
north;min;NA;logging;fine_woody_litter;1990;0.076650615442098;0.00245392515834689;0.00439084482181774;0.0443912866732694
north;min;NA;logging;fine_woody_litter;1991;0.0589354618020269;0.00188466541951383;0.00337020204259652;0.0341016501536965
north;min;NA;logging;fine_woody_litter;1992;0.0666833048950856;0.00213212862021163;0.00379939418508901;0.038442369071033
north;min;NA;logging;fine_woody_litter;1993;0.0698878883085991;0.00224599251516399;0.00400673284422078;0.0403806200650669
north;min;NA;logging;fine_woody_litter;1994;0.077422444328838;0.00250101831635629;0.00447346560064337;0.0449086557646069
north;min;NA;logging;fine_woody_litter;1995;0.0774956667472052;0.0025039948314919;0.0044727336298246;0.0448893522248472
north;min;NA;logging;fine_woody_litter;1996;0.0709153466672268;0.00231078248260383;0.00412106403904466;0.0410838242777918
north;min;NA;logging;fine_woody_litter;1997;0.0767759854776633;0.00249829882065558;0.00445791611223575;0.0444915705372921
north;min;NA;logging;fine_woody_litter;1998;0.0818214476099278;0.00266408202011601;0.0047168682239469;0.0472553942769487
north;min;NA;logging;fine_woody_litter;1999;0.0827881328435254;0.00269060445851333;0.00473940776648349;0.0476396563021974
north;min;NA;logging;fine_woody_litter;2000;0.0854941709800118;0.00277105879477209;0.004868870544536;0.0491705362172684
north;min;NA;logging;fine_woody_litter;2001;0.0874124728685865;0.00282231141745421;0.00493687768196928;0.0501791176216308
north;min;NA;logging;fine_woody_litter;2002;0.0868716097078787;0.00279849300892739;0.00486016882715014;0.0496988156047412
north;min;NA;logging;fine_woody_litter;2003;0.0918181557343603;0.0029601378137746;0.00515644333392396;0.0526537641459527
north;min;NA;logging;fine_woody_litter;2004;0.0947869449088731;0.00305594731623093;0.00532828692593872;0.0544239900070246
north;min;NA;logging;fine_woody_litter;2005;0.0934253258849772;0.00300420543677017;0.00521400216241833;0.0534817349576341
north;min;NA;logging;fine_woody_litter;2006;0.0858261623135147;0.0027489023697474;0.00466905268248234;0.048704063177311
north;min;NA;logging;fine_woody_litter;2007;0.0989527583797667;0.00318991750192521;0.00552330632672961;0.0565968189846603
north;min;NA;logging;fine_woody_litter;2008;0.0987882145293788;0.0031669892835762;0.00541715150553316;0.055987335109137
north;min;NA;logging;fine_woody_litter;2009;0.0750901035489209;0.00236518690752233;0.0040597757928103;0.0423464287907837
north;min;NA;logging;fine_woody_litter;2010;0.093385743679906;0.00296566112640872;0.00519509889673079;0.0531571927818071
north;min;NA;logging;fine_woody_litter;2011;0.0961889099014732;0.00305735671183794;0.00539119203374146;0.0549011025314744
north;min;NA;logging;fine_woody_litter;2012;0.0948551535370913;0.00300519508412904;0.00528761695892359;0.0540079888746579
north;min;NA;logging;fine_woody_litter;2013;0.102490429306763;0.00325111356659231;0.00575949319227732;0.0584553504820144
north;min;NA;logging;fine_woody_litter;2014;0.10316323299243;0.00327289812955121;0.00579154155131977;0.0588483639071848
north;min;NA;logging;fine_woody_litter;2015;0.103702054481195;0.00330210451907404;0.00588228773178836;0.0593687390452462
north;min;NA;logging;fine_woody_litter;2016;0.102688340757276;0.00328726243550485;0.00590680114367299;0.0590187589005044
north;min;NA;logging;fine_woody_litter;2017;0.104905537241193;0.00336020103572455;0.00603986361783149;0.0603516362409432
north;min;NA;logging;fine_woody_litter;2018;0.116258547496619;0.00373160491142073;0.00670646945134706;0.0669598076057409
north;min;NA;logging;fine_woody_litter;2019;0.113334160959671;0.00363579757015735;0.00654587959193592;0.0653138915565934
